	Hfq_30_II_cutadapt_bwa	Hfq_30_I_cutadapt_bwa	Hfq_60_II_cutadapt_bwa	Hfq_60_I_cutadapt_bwa	Hfq_lambda_30_II_cutadapt_bwa	Hfq_lambda_30_I_cutadapt_bwa	Hfq_lambda_60_II_cutadapt_bwa	Hfq_lambda_60_I_cutadapt_bwa	wt30_II_cutadapt_bwa	wt30_I_cutadapt_bwa	wt_lambda_30_II_cutadapt_bwa	wt_lambda_30_I_cutadapt_bwa
nadD	92	131	176	130	70	97	111	326	3	8	5	0
nadE	879	1059	1173	1130	746	1054	747	1620	9	7	1	4
nadK	390	532	622	575	289	531	329	1033	6	7	0	1
nadR	673	934	847	1052	545	759	622	1113	13	5	2	0
nagA	1397	2171	273	214	873	1642	223	456	23	36	9	5
nagB	2793	3686	426	388	2239	3431	359	664	22	39	11	10
nagC	1815	2356	854	756	1400	1962	542	1077	17	34	12	7
nagE	11435	14974	2461	2300	8055	12261	1491	2982	162	185	59	64
nagK	929	1075	1210	1221	715	878	757	1498	4	16	2	3
nagZ	1110	1390	1236	1285	822	1245	884	2044	27	21	8	4
nanA	8554	10536	501	357	6210	8573	431	757	96	174	33	35
nanC	15472	15700	62	38	10699	14280	137	53	14	23	7	3
nanE	4568	4912	218	213	2816	4207	133	253	40	95	30	23
nanK	3711	3686	219	225	2587	3351	168	221	27	44	12	11
nanM	6675	8515	39	27	4638	7322	150	76	18	14	2	7
nanQ	2198	2297	137	118	1856	2281	113	188	8	40	10	9
nanR	309	376	278	251	199	320	188	513	8	6	5	1
nanS	721	716	17	9	565	752	27	15	1	4	1	0
nanT	10600	10298	389	352	7417	9111	293	416	98	141	36	30
nanX	2079	1870	234	175	1631	1985	151	235	3	6	2	1
nanY	3121	4489	437	397	2766	4817	341	449	8	12	3	5
napA	1163	1748	386	606	933	1418	160	663	24	34	11	5
napB	14	42	20	19	10	34	6	20	0	2	2	2
napC	120	224	120	119	99	170	64	212	2	10	1	0
napD	272	346	133	155	208	302	58	225	2	2	0	2
napF	2907	2301	1132	1777	2413	2495	451	850	3	7	1	2
napG	33	88	19	14	40	48	16	21	2	1	0	0
napH	68	214	123	110	83	121	55	77	5	3	1	0
narG	841	1096	201	295	587	1108	103	304	42	44	18	9
narH	197	395	40	52	200	363	27	71	18	37	12	5
narI	37	51	7	10	26	67	4	10	2	7	0	1
narJ	44	78	9	11	44	81	11	20	7	9	1	1
narK	1113	1133	391	419	935	1206	235	503	5	3	0	1
narL	129	193	118	111	80	158	85	258	2	8	5	1
narP	253	389	608	506	207	403	435	1055	4	2	2	0
narQ	340	436	305	283	258	365	183	383	3	5	1	5
narS	1399	1185	356	280	1121	1322	244	423	2	0	0	0
narU	28	22	12	3	23	22	5	4	0	0	0	0
narV	9	27	11	14	22	16	7	21	1	0	0	0
narW	20	16	18	8	9	17	5	21	1	0	1	0
narX	141	210	172	158	141	182	115	301	4	15	1	0
narY	24	31	13	20	14	26	16	17	1	1	1	0
narZ	67	98	29	28	46	76	16	59	2	4	1	1
nc1	2	3	5	1	1	1	10	5	0	0	0	0
ndh	1009	1310	1657	1452	717	1111	1096	2435	12	13	5	6
ndk	98	144	923	645	104	117	719	1108	4	1	0	2
nei	122	172	143	110	96	152	84	188	2	5	1	1
nemA	922	980	1271	919	758	962	682	1196	5	4	5	5
nemR	103	128	174	126	107	127	124	211	1	1	0	1
nepI	347	347	611	425	360	380	352	558	2	2	0	2
nfeF	49	42	119	144	27	27	71	211	1	0	0	0
nfeR	183	149	161	226	124	162	94	228	2	5	1	0
nfi	300	364	312	331	218	349	199	523	11	14	2	3
nfo	126	183	179	130	94	175	126	369	2	5	3	1
nfrA	300	350	362	340	243	397	240	468	2	4	3	1
nfrB	80	88	73	52	59	104	44	102	0	2	0	2
nfsA	379	443	438	476	258	366	356	682	6	7	1	1
nfsB	302	377	389	398	194	297	244	674	7	8	0	3
nfuA	417	445	637	708	248	359	581	1043	6	6	2	2
nhaA	1649	1574	1271	1094	1406	1688	1738	2109	4	1	1	2
nhaB	617	681	1201	1001	561	709	858	1858	7	5	3	1
nhaR	361	387	294	315	296	323	354	498	1	2	1	1
nhoA	107	126	89	95	89	106	66	98	0	4	0	0
nikA	719	849	174	254	683	773	106	199	4	3	3	2
nikB	558	685	131	176	477	570	54	148	6	3	1	1
nikC	279	323	54	77	227	291	16	65	4	3	5	2
nikD	91	180	23	44	75	163	13	50	7	5	0	4
nikE	32	77	14	18	36	53	14	19	3	4	0	0
nikR	50	98	41	38	48	64	35	51	2	3	0	0
nimR	37	26	50	57	28	39	45	82	2	1	0	0
nimT	495	350	443	267	456	382	327	321	0	2	1	0
ninE	0	2	1	0	0	0	0	2	0	0	0	0
nirB	361	752	118	205	189	491	48	190	12	7	5	0
nirC	17	31	13	8	8	33	13	23	0	0	0	0
nirD	263	474	44	130	178	282	20	70	2	0	0	1
nlpA	105	95	48	68	89	98	87	100	1	0	0	0
nlpC	190	187	253	201	155	185	240	302	1	0	0	0
nlpD	29569	25697	27866	25571	19711	24288	23686	29345	80	32	14	284
nlpE	740	826	626	570	519	832	432	757	1	1	4	1
nlpI	815	1207	1226	849	771	1226	1072	2537	50	63	22	24
nmpC	1877	2982	3484	2856	1139	2199	2754	6141	36	43	12	6
nnr	914	984	477	459	517	932	335	595	6	13	2	1
nohA	7	7	10	5	332	458	225	383	0	3	6	4
nohD	10	17	19	14	666	1048	389	810	4	4	39	12
norR	285	285	312	357	162	262	221	310	3	1	0	0
norV	35	37	32	26	15	37	16	39	1	1	2	0
norW	13	20	13	8	3	14	5	14	0	0	0	0
npr	182	266	287	242	148	252	145	608	2	7	5	6
nrdA	1843	2165	2836	2343	1979	3392	2687	6842	42	69	17	15
nrdB	862	1137	1699	1444	669	1373	1184	3574	19	25	6	6
nrdD	1953	3049	1935	1679	1686	3121	1135	3549	66	91	26	28
nrdE	38	29	239	188	40	41	212	550	1	0	0	0
nrdF	51	26	215	211	29	46	200	369	0	0	0	0
nrdG	138	198	196	149	142	270	123	380	4	13	4	1
nrdH	4	6	37	21	4	6	31	90	0	1	0	0
nrdI	9	4	60	48	8	22	48	157	0	1	0	0
nrdR	167	265	197	191	109	248	164	412	7	11	1	5
nrfA	262	493	138	176	220	324	121	189	8	9	3	7
