	Hfq_30_II_cutadapt_bwa	Hfq_30_I_cutadapt_bwa	Hfq_60_II_cutadapt_bwa	Hfq_60_I_cutadapt_bwa	Hfq_lambda_30_II_cutadapt_bwa	Hfq_lambda_30_I_cutadapt_bwa	Hfq_lambda_60_II_cutadapt_bwa	Hfq_lambda_60_I_cutadapt_bwa	wt30_II_cutadapt_bwa	wt30_I_cutadapt_bwa	wt_lambda_30_II_cutadapt_bwa	wt_lambda_30_I_cutadapt_bwa
glpX	26114	24380	26719	26129	19630	20495	12863	22303	71	52	14	25
glrK	161	196	201	132	148	175	115	247	1	9	3	1
glrR	107	173	134	104	59	107	110	207	3	4	1	0
glsA	14	23	7	10	18	16	9	22	2	2	0	1
glsB	90	99	175	135	55	80	165	264	2	0	0	0
gltA	14239	17065	7549	7599	8995	12947	4323	12194	165	213	54	60
gltB	2338	2930	3766	3245	1349	2281	2481	6792	32	34	5	8
gltD	588	848	822	866	345	569	442	1340	23	8	2	3
gltF	3	7	31	26	4	11	24	51	0	1	0	0
gltI	16321	11808	12263	9283	9497	10472	6332	12580	24	6	3	10
gltJ	974	979	1780	1273	826	861	755	1432	4	2	0	1
gltK	269	310	330	305	198	216	157	409	0	1	0	0
gltL	479	463	349	413	241	308	226	454	4	7	2	2
gltP	1050	1217	2034	1856	830	1118	1314	2652	13	10	3	4
gltS	290	308	228	293	218	247	150	264	2	4	2	1
gltT	561	560	460	2104	1090	782	4325	3481	1160	1047	1285	356
gltU	647	643	558	2359	1222	832	1997	2967	1386	729	1135	347
gltV	501	581	598	1801	814	913	1738	2798	772	686	797	239
gltW	364	377	507	2272	706	515	2555	4815	837	865	886	323
gltX	333	466	906	730	246	463	840	2011	18	7	6	3
gluQ	345	336	489	280	302	331	201	587	10	4	3	4
glvB	1	1	2	0	2	2	3	4	0	0	0	0
glvC	10	6	9	10	13	11	8	9	0	0	0	0
glvG	23	11	16	32	18	24	21	24	0	0	0	0
glxK	24	26	25	20	13	33	19	25	0	1	0	1
glxR	6	4	2	5	0	0	2	5	0	0	0	0
glyA	1087	1421	1856	1648	710	1322	1134	3581	35	49	18	14
glyQ	537	694	1254	897	432	582	893	2155	20	31	6	10
glyS	1118	1592	2570	2350	833	1347	1523	5147	62	46	15	19
glyT	1799	1807	2307	4280	2532	2095	2291	3910	1301	1079	1193	446
glyU	58	55	46	147	91	108	128	200	80	83	88	22
glyV	1066	1121	624	3302	2023	1559	1492	3360	1370	1473	1617	484
glyW	821	871	591	2318	1505	1325	1173	2596	1108	1081	1248	373
glyX	1272	1198	1142	3979	1982	2053	1556	3705	1505	2466	1418	468
glyY	945	886	787	2734	1334	1560	950	2431	925	1563	946	262
gmd	2	2	8	12	7	1	3	12	0	0	0	0
gmhA	259	280	224	212	168	210	217	377	9	3	2	2
gmhB	372	446	424	386	355	462	352	704	4	8	2	5
gmk	380	463	512	442	298	479	440	955	13	12	2	5
gmm	3	5	5	2	1	4	4	8	1	0	0	0
gnd	2350	3311	5626	5782	1524	2954	4384	11710	67	48	24	21
gndA	239	357	556	528	161	314	458	1473	13	2	0	7
gnsA	328	351	435	340	387	483	320	678	4	2	1	0
gnsB	1901	1628	3010	2171	1717	2003	3464	3364	4	1	0	1
gntK	42	73	48	32	39	57	33	76	3	1	0	0
gntP	470	419	297	334	377	465	258	395	5	0	1	0
gntR	2156	1896	1710	1442	2009	1993	1011	1575	8	11	6	5
gntT	49	30	52	50	24	37	38	108	1	1	1	1
gntU	991	946	1015	838	928	960	881	704	11	1	0	2
gor	605	873	806	868	472	734	527	1391	21	16	2	5
gph	168	222	285	283	107	208	242	540	1	8	2	2
gpmA	3995	4588	2192	2504	2632	3726	1633	3226	50	65	21	15
gpmM	2587	3116	1698	2138	1690	2768	1086	2683	82	61	19	14
gpp	831	1103	1614	1443	618	949	926	2386	30	15	7	14
gpr	2951	3965	1479	1896	2150	3408	771	1805	38	39	10	9
gpsA	4472	4843	5744	5468	3546	4162	3502	7283	59	52	14	17
gpt	148	173	252	243	149	186	264	348	1	0	1	1
grcA	17418	16259	14649	11847	12484	17490	8758	22047	149	78	65	37
greA	231	280	442	474	183	268	376	684	4	0	2	1
greB	303	256	304	353	175	262	261	422	4	1	0	0
groL	3967	3797	7508	7461	1560	2774	6911	11869	78	77	17	16
groS	905	920	2221	2045	379	646	1490	3139	20	16	4	2
grpE	402	431	873	795	256	319	845	1460	12	6	6	3
grxA	32	31	33	30	16	28	34	46	0	0	0	1
grxB	475	622	294	332	403	567	240	528	15	14	3	3
grxC	558	634	668	630	515	668	453	958	5	3	0	1
grxD	327	531	815	704	335	540	594	1885	12	4	7	1
gshA	2462	2962	2462	2462	1935	2763	1586	3226	41	42	17	18
gshB	1626	1889	1983	2014	1227	1677	1064	2167	6	18	5	3
gsiA	826	1073	532	636	527	765	302	771	13	24	3	5
gsiB	1321	1440	769	795	911	1137	511	792	5	10	3	2
gsiC	436	445	226	249	331	422	162	235	2	2	0	0
gsiD	488	536	378	329	430	421	245	305	0	0	0	0
gsk	295	327	845	566	314	389	516	953	6	10	3	0
gspA	23	18	42	30	18	25	24	39	0	0	0	0
gspB	27	26	42	46	23	26	32	36	1	0	0	0
gspC	2	2	2	0	0	1	1	2	0	0	0	0
gspD	45	46	46	48	33	54	53	87	1	0	0	0
gspE	7	6	17	20	5	15	7	46	0	1	0	0
gspF	5	14	18	29	8	11	12	29	0	2	0	0
gspG	2	4	9	3	4	7	2	19	0	0	0	0
gspH	0	3	5	4	4	2	3	11	0	0	0	0
gspI	2	5	4	1	0	3	3	7	0	0	0	0
gspJ	1	4	4	4	1	6	1	4	1	0	0	0
gspK	2	0	5	5	3	5	3	4	0	1	0	0
gspL	17	20	26	31	14	23	16	47	1	0	0	0
gspM	10	15	19	19	11	26	18	42	0	0	0	0
gspO	66	66	54	48	46	64	48	55	0	0	0	0
gss	303	496	309	307	208	405	196	696	10	13	6	1
gstA	136	197	114	143	76	168	82	288	5	9	4	0
gstB	258	323	136	147	156	249	145	255	1	6	0	0
guaA	528	784	1655	1397	467	784	1228	3595	31	31	10	14
guaB	249	366	977	779	233	433	746	1952	15	24	3	8
guaC	302	271	428	308	185	235	363	657	4	4	4	1
guaD	142	168	160	140	104	158	111	165	0	0	1	0
gudD	362	530	86	109	279	594	59	186	11	27	6	4
gudP	381	670	240	223	298	565	134	363	15	26	6	5
gudX	333	562	159	204	259	478	65	205	0	20	6	5
gutM	83	136	30	39	74	136	13	39	6	5	2	4
gutQ	1384	1655	876	1184	1022	1583	387	889	27	29	9	8
gyrA	1528	2133	3631	3126	1180	2223	2520	7456	55	74	32	26
gyrB	1526	2157	3028	2663	1151	2011	2106	5502	59	68	22	19
hcaB	32	44	34	38	19	22	22	53	1	0	0	0
hcaC	30	21	26	31	11	19	18	32	1	0	0	0
hcaD	36	56	40	47	9	31	28	66	0	3	1	1
hcaE	85	91	111	109	52	89	71	137	1	1	0	0
hcaF	53	44	51	49	20	41	36	70	1	0	0	0
hcaR	220	204	426	358	129	121	303	364	1	0	0	0
hcaT	523	409	727	486	472	417	462	573	0	1	1	2
hchA	187	341	40	23	133	290	39	83	3	5	1	2
hcp	70	114	45	28	41	81	19	51	7	6	0	0
hcr	65	94	31	33	37	74	20	50	2	3	2	2
hcxA	97	118	113	99	115	128	106	233	4	4	0	1
hcxB	1658	1721	1706	1783	1191	1464	1173	1761	4	6	3	4
hda	245	279	430	371	197	266	272	604	1	5	1	0
hdeA	43	52	11	18	38	70	16	21	0	0	0	0
hdeB	21	31	9	8	17	38	1	20	2	1	1	0
hdeD	92	110	29	27	83	118	14	37	0	2	0	0
hdfR	380	322	244	191	252	317	151	350	3	2	0	4
hdhA	350	494	323	227	244	437	262	373	3	3	1	1
helD	1438	1737	1458	1630	1148	1489	885	1804	19	20	2	4
hemA	582	852	1227	1026	454	845	757	2065	9	14	6	5
hemB	315	415	680	597	254	417	564	1091	13	7	4	2
hemC	1077	1552	1108	1242	734	1244	728	2163	35	60	13	6
hemD	1012	1281	857	941	709	1103	546	1539	24	38	5	12
hemE	326	505	387	413	236	394	308	747	6	14	8	4
hemF	427	530	728	639	344	535	482	1052	5	2	2	0
hemG	614	582	648	629	373	548	561	902	5	3	2	0
hemH	193	274	133	125	132	228	115	228	9	6	1	4
hemL	402	508	432	435	301	532	338	814	11	16	7	3
hemN	365	515	422	387	264	454	317	847	10	20	5	1
hemW	174	243	406	334	146	194	308	640	5	10	1	2
hemX	1299	1835	1104	1081	854	1647	750	1913	20	48	10	8
hemY	1401	1971	920	954	937	1659	538	1610	21	40	12	13
hflC	1456	2252	2442	2346	1227	2056	1741	4728	39	25	12	9
hflD	141	216	395	268	124	199	254	809	3	9	3	4
hflK	2868	4996	3548	3552	1859	4170	2617	8529	48	86	22	29
hflX	9880	10826	10440	10474	7647	10771	6945	13868	64	68	20	42
hfq	10998	9264	9282	7824	9638	9577	9126	8968	25	11	2	8
hha	89	112	244	153	118	168	259	372	1	1	1	0
hicA	4	7	6	7	5	7	7	15	0	0	0	0
hicB	69	87	54	59	57	72	56	74	0	0	0	0
higA	21	47	26	43	26	31	27	48	0	0	1	0
higB	3	5	2	8	7	10	8	10	0	0	0	0
hinT	378	545	329	337	240	417	276	528	9	8	4	2
hipA	154	183	92	130	79	170	80	203	2	0	1	0
hipB	27	27	21	12	6	13	18	35	0	0	0	0
hipH	153	148	150	138	74	145	116	203	6	6	0	1
hisA	169	153	111	147	91	137	96	157	0	7	1	0
hisB	384	510	357	352	223	376	233	580	10	14	1	2
hisC	229	340	256	267	194	269	154	434	2	9	0	5
hisD	554	784	792	853	369	619	366	1087	13	9	1	4
hisF	203	223	173	212	115	172	131	270	6	4	1	1
hisG	1025	1177	1469	1561	859	1174	971	1945	8	11	5	2
hisH	234	234	187	172	147	158	138	211	4	5	1	1
hisI	111	156	144	140	72	135	102	235	4	4	2	1
hisJ	1126	1034	1850	1637	689	928	1289	2191	7	1	3	0
hisL	75	80	164	134	64	87	175	221	0	0	2	1
hisM	198	237	499	450	153	201	299	537	0	0	0	0
hisP	97	116	163	165	53	72	126	339	1	1	0	0
hisQ	727	643	1560	1266	543	543	861	1359	2	0	1	0
hisR	1572	1362	1488	3105	2054	1861	2496	3262	944	1246	969	286
hisS	1480	2062	2342	1933	1220	1931	1360	3774	46	61	20	11
hiuH	20	13	25	23	25	25	24	27	0	1	0	0
hldE	708	1008	896	939	526	775	636	1076	13	11	2	9
hlyE	24	42	7	7	24	49	5	14	1	0	0	0
hmp	1325	1806	854	925	828	1368	589	1237	5	2	1	0
hns	2177	3134	3878	2843	1793	3363	3126	9247	39	22	16	10
hofB	115	144	90	110	76	125	72	204	4	2	0	0
hofC	25	24	22	26	10	23	15	40	0	1	0	0
hofM	334	330	697	864	351	374	491	489	4	1	0	0
hofN	26	23	30	26	22	15	21	40	1	0	0	1
hofO	27	31	35	27	29	38	25	39	0	1	0	0
hofP	11	25	20	39	21	11	21	37	0	1	0	0
hofQ	33	40	62	57	29	29	38	70	0	2	0	0
hokA	0	1	1	1	0	2	0	2	0	0	0	0
hokB	41	46	48	27	29	65	25	63	2	2	2	0
hokC	36	70	32	26	37	62	30	58	0	0	0	1
hokD	174	186	181	191	122	182	116	250	3	4	0	3
hokE	3	3	4	1	3	1	3	9	0	0	0	0
holA	186	306	410	308	126	255	272	743	5	16	1	7
holB	201	302	324	296	138	247	199	554	5	4	4	3
holC	68	103	108	91	47	107	91	276	5	2	0	3
holD	43	57	120	72	24	61	86	214	3	1	1	3
holE	14	19	29	26	6	22	14	54	0	0	0	0
hpf	466	676	632	516	325	593	411	1282	15	16	8	5
hprR	40	81	83	73	58	71	62	106	0	0	0	1
hprS	69	87	152	111	67	85	90	182	1	0	0	0
hpt	416	449	799	695	314	489	544	995	3	5	2	0
hrpA	1663	2452	2310	2454	1155	2064	1919	4375	28	39	16	12
hrpB	467	576	466	506	369	567	306	679	9	19	6	6
hscA	267	353	859	712	162	376	586	1613	8	16	2	3
hscB	68	97	250	217	76	97	174	506	3	4	1	3
hscC	79	147	153	157	68	153	80	237	0	4	0	0
hsdM	1607	1895	2472	2144	1642	2158	1536	2861	19	24	10	8
hsdR	5642	8787	4673	5614	3974	7058	2692	8046	148	196	51	50
hsdS	378	554	1012	909	369	525	675	1405	4	4	0	1
hslJ	7	8	12	10	7	6	14	29	0	0	0	0
hslO	79	118	203	183	50	86	205	326	4	3	0	0
hslR	104	135	226	243	95	118	182	311	0	1	0	0
hslU	861	1002	2638	2121	391	770	2231	5413	32	14	5	4
hslV	473	548	1311	1095	266	421	1271	2034	9	3	3	3
hspQ	23	28	37	30	16	32	51	74	2	1	1	1
hsrA	1244	1293	921	939	1041	1249	615	1286	14	16	7	3
htpG	674	686	1537	1445	268	405	1534	2967	22	14	2	6
htpX	628	653	1277	992	642	720	1711	2379	14	5	4	4
htrE	7	4	8	7	3	13	9	13	1	0	0	0
htrL	1083	1122	2680	1583	1213	1377	1917	2777	6	0	0	1
hupA	507	615	412	411	401	540	490	882	22	16	8	2
hupB	63401	57193	62247	66081	48923	62384	41825	70599	226	107	37	79
hxpA	1116	1345	774	887	730	1081	457	1031	11	12	3	5
hxpB	192	188	349	283	173	243	321	539	4	2	0	0
hyaA	8	22	2	3	9	19	2	7	3	1	1	0
hyaB	12	23	9	5	11	28	2	8	3	1	0	1
hyaC	7	17	7	2	5	12	6	10	0	0	1	0
hyaD	13	20	14	13	9	15	11	23	1	1	0	0
hyaE	7	15	7	8	7	16	7	8	1	1	0	0
hyaF	17	25	15	14	3	10	11	19	1	1	1	0
hybA	1357	2059	437	578	1087	2129	172	625	83	126	26	34
hybB	937	1341	279	326	954	1660	102	424	61	119	24	25
hybC	710	1196	247	284	719	1403	177	578	71	125	28	27
hybD	129	193	66	76	124	219	53	117	15	16	12	5
hybE	133	182	76	87	110	212	50	106	14	23	8	5
hybF	70	119	38	56	61	108	33	74	11	17	5	2
hybG	7	19	8	6	11	28	6	21	2	2	0	0
hybO	2049	3250	714	924	1747	3121	414	1275	84	150	44	24
hycA	7	7	11	13	10	15	11	15	0	0	0	0
hycB	12	6	14	16	13	9	10	7	1	0	0	0
hycC	24	19	15	29	25	24	15	25	1	0	0	0
hycD	9	21	21	12	14	14	16	25	0	0	0	0
hycE	33	24	42	53	21	42	19	66	1	0	0	0
hycF	5	7	9	9	6	4	6	14	0	0	0	0
hycG	19	25	25	27	11	12	15	24	0	0	0	0
hycH	14	13	14	12	6	11	7	19	0	0	1	0
hycI	61	62	42	49	42	69	31	71	1	2	0	0
hydN	18	21	17	13	12	18	5	24	1	0	0	0
hyfA	0	1	1	1	1	3	4	4	0	0	0	0
hyfB	69	69	80	81	48	52	46	45	1	2	0	0
hyfC	2	4	4	4	3	2	5	3	0	0	0	0
hyfD	8	9	8	12	1	6	6	10	0	1	0	0
hyfE	4	6	3	3	3	3	2	3	0	0	0	0
hyfF	55	81	51	65	36	64	43	76	0	1	3	1
hyfG	56	65	41	43	38	55	19	66	1	5	0	0
hyfH	6	15	9	12	2	8	8	12	0	0	0	0
hyfI	34	37	23	34	19	19	14	33	1	3	0	0
hyfJ	32	36	26	44	38	32	18	34	0	1	0	0
hyfR	27	46	46	64	32	40	38	46	0	0	0	0
hyi	0	3	4	2	2	6	1	9	0	0	0	0
hypA	226	251	128	149	167	205	68	213	9	11	4	0
hypB	1864	2827	705	1064	1192	2101	391	1262	55	91	19	25
hypC	387	700	140	215	304	576	75	312	22	33	6	8
hypD	2193	2977	717	994	1630	2776	276	1027	63	102	30	21
hypD_AS	900	850	683	562	799	851	460	741	6	13	2	3
hypE	3553	4208	1011	1562	3247	4582	423	1259	57	99	22	31
hypF	322	362	141	136	201	318	88	188	7	8	2	3
hypT	76	99	118	99	70	65	58	154	2	3	1	0
hyuA	63	99	32	18	120	129	23	29	3	5	2	1
iaaA	519	624	418	486	341	517	268	544	10	7	1	0
iadA	64	81	109	106	39	73	94	250	6	4	2	0
iap	147	174	214	157	111	201	161	234	2	1	1	0
ibaG	85	89	171	113	86	126	128	335	1	1	0	1
ibpA	62	44	238	131	39	50	305	333	0	1	0	0
ibpB	3074	1998	2449	1258	2292	3055	2852	1744	0	0	1	1
ibsA	2	4	1	4	1	3	1	1	0	0	0	0
ibsB	5	5	2	2	0	6	5	1	0	0	0	0
ibsC	2	1	2	0	1	0	1	0	0	0	0	0
ibsD	2	4	4	1	3	9	5	3	0	0	0	0
ibsE	1	1	0	1	2	2	0	0	0	0	1	0
icd	15502	20027	20833	19106	10381	16002	12035	35466	291	236	101	99
icdC	2	4	3	4	1	4	6	14	0	0	0	0
iclR	468	557	1375	1101	371	611	756	2063	14	16	3	9
idi	94	121	125	76	81	119	64	166	3	2	3	2
idlP	2	1	3	2	3	1	2	7	0	1	0	0
idnD	190	221	57	87	134	192	46	103	0	2	1	0
idnK	65	43	22	43	41	56	30	33	0	0	0	0
idnO	942	694	329	225	1051	879	115	320	2	2	0	2
idnR	43	50	72	51	47	54	59	100	1	1	0	0
idnT	129	126	91	78	84	127	68	105	2	1	0	1
igaA	305	340	571	529	226	348	453	956	11	13	4	6
ihfA	970	1178	739	915	849	1310	690	1772	32	28	15	7
ihfB	205	307	338	222	201	362	296	768	7	7	0	2
ileS	2575	4049	4736	4559	1502	3290	3165	9335	102	125	29	31
ileT	211	230	375	600	303	292	412	885	146	234	172	52
ileU	169	179	272	522	234	188	322	738	114	221	131	50
ileV	198	215	374	804	227	267	468	1232	164	187	205	63
ileX	3	1	6	2	2	1	9	8	1	3	4	0
ileY	0	0	0	0	0	0	0	1	0	0	0	0
ilvA	588	699	429	505	410	583	225	564	7	12	0	1
ilvB	7217	5544	30080	21626	6434	6463	22208	22586	19	12	1	8
ilvC	334	474	726	849	208	392	558	1536	7	8	1	1
ilvD	872	1103	742	755	483	880	432	1183	13	9	5	2
ilvE	1130	1280	1036	1061	747	918	621	1423	9	7	3	3
ilvG	275	335	835	613	182	292	590	1400	6	4	4	0
ilvH	103	114	106	99	66	113	77	88	1	1	0	0
ilvI	154	190	152	186	87	214	111	247	3	6	0	0
ilvL	65	83	176	157	59	72	248	260	0	0	4	0
ilvM	1414	1241	1445	1171	1040	1041	763	1246	4	2	0	0
ilvN	131	172	565	462	142	180	252	758	4	1	1	1
ilvX	85	65	199	161	70	87	336	269	1	0	1	0
ilvY	320	386	305	385	238	318	187	405	9	8	1	3
inaA	321	458	352	317	246	399	226	484	4	12	4	1
infA	310	442	516	323	259	430	414	1244	7	5	9	7
infB	6295	8711	20750	23917	5166	9618	13162	37929	205	170	41	40
infC	4730	5407	10474	9250	4146	5425	8076	14251	100	82	45	35
insA1	170	218	277	245	130	152	266	333	2	2	0	0
insA2	195	234	324	275	171	192	220	367	0	1	0	0
insA3	179	202	318	255	135	197	294	363	0	0	0	2
insA4	283	349	530	516	245	316	624	556	0	1	1	0
insA5	153	226	304	280	125	178	237	360	0	0	0	1
insA6	320	412	532	467	257	367	554	583	1	1	0	0
insA7	274	330	571	501	224	305	505	617	4	2	1	0
insA9	148	203	281	269	115	181	241	365	2	0	0	1
insAB1	254	354	464	363	206	248	359	558	2	3	0	0
insAB2	327	397	538	482	294	333	352	628	0	1	0	0
insAB3	330	392	582	474	232	348	429	665	1	1	1	2
insAB4	450	556	840	803	363	503	789	914	2	2	1	1
insAB5	243	352	488	405	215	282	345	594	0	0	1	1
insAB6	465	644	839	744	381	533	713	929	4	5	1	0
insB1	106	169	233	151	92	136	137	313	1	2	0	0
insB2	173	223	301	254	157	197	174	379	0	0	0	0
insB3	187	244	339	272	115	199	200	431	1	1	1	0
insB4	189	246	372	333	146	219	212	455	2	1	0	1
insB5	102	165	242	168	105	131	144	336	0	0	1	0
insB6	168	285	396	309	154	222	216	462	4	4	1	0
insB7	245	273	586	472	153	236	306	644	4	5	1	0
insB9	94	102	218	177	62	130	121	298	3	1	0	1
insC1	30	68	52	42	44	39	38	88	1	1	0	0
insC2	29	32	24	41	23	38	36	75	2	0	1	0
insC3	35	38	31	37	19	35	33	46	3	1	0	0
insC4	23	52	30	43	24	33	26	44	2	0	1	0
insC5	41	62	56	59	35	37	45	66	2	3	0	0
insC6	46	42	37	68	32	55	38	67	0	1	0	0
insCD1	122	234	178	146	98	133	99	260	3	1	0	2
insCD2	114	181	103	114	62	124	84	214	3	1	2	0
insCD3	104	162	122	118	67	138	88	206	7	6	0	2
insCD4	86	183	105	118	83	122	71	186	3	7	1	0
insCD5	108	194	153	160	82	127	89	253	8	7	0	0
insCD6	135	162	134	148	85	153	82	225	3	4	0	0
insD1	98	183	140	113	62	96	70	191	2	0	0	2
insD2	89	158	81	76	43	94	53	159	1	1	1	0
insD3	75	134	95	83	52	116	60	170	6	5	0	2
insD4	69	141	83	78	64	95	48	152	3	7	0	0
insD5	72	144	105	111	51	94	51	201	6	4	0	0
insD6	96	125	104	89	62	110	53	172	3	3	0	0
insD7	56	75	67	63	29	64	25	98	0	0	0	1
insE1	9	20	17	13	11	20	6	30	0	0	1	0
insE2	12	10	11	15	15	18	13	42	0	1	0	0
insE3	15	27	22	16	4	15	14	38	0	0	0	0
insE4	20	12	21	13	6	15	11	23	0	0	0	0
insE5	10	19	11	14	3	30	11	35	0	1	0	1
insEF1	47	46	63	56	31	66	26	114	1	0	2	0
insEF2	45	48	51	41	43	46	30	115	0	1	0	1
insEF3	47	71	70	50	38	60	50	110	0	0	0	0
insEF4	51	57	53	36	23	48	30	91	1	2	0	1
insEF5	70	56	57	69	30	82	38	100	0	1	0	2
insF1	41	32	52	44	22	53	21	92	1	0	1	0
insF2	40	40	45	30	33	32	23	84	0	0	0	1
insF3	37	48	55	41	35	49	38	81	0	0	0	0
insF4	36	47	38	26	19	37	21	72	1	2	0	1
insF5	62	44	49	59	29	58	31	73	0	0	0	1
insG	63	55	69	49	35	60	63	91	2	3	0	0
insH1	908	1351	1541	1546	561	1047	967	2798	21	24	7	6
insH10	949	1419	1673	1443	610	1079	941	2957	21	20	3	5
insH11	827	1275	1485	1416	575	1017	861	2851	14	26	6	6
insH2	924	1416	1649	1607	627	1211	941	3329	28	15	8	7
insH21	1330	1919	2287	2370	798	1639	1468	4217	27	43	9	3
insH3	906	1348	1798	1423	603	1159	978	3466	21	29	13	8
insH4	1304	2020	2292	2344	827	1694	1407	4049	26	39	13	8
insH5	126	148	155	144	77	151	104	336	2	1	0	0
insH6	868	1172	1402	1410	524	1017	820	2541	26	22	7	6
insH7	924	1420	1698	1630	686	1090	990	3216	25	29	5	2
insH8	964	1378	1632	1569	648	1120	975	3053	18	25	6	5
insH9	1322	1940	2240	2319	784	1583	1435	4042	23	26	10	9
insI1	442	665	597	522	342	581	415	903	8	4	1	0
insI2	119	128	140	194	106	134	113	117	0	1	0	0
insI3	393	527	530	500	291	473	358	758	6	3	1	0
insJ	23	21	38	36	22	36	50	120	0	0	0	2
insJK	26	27	51	49	34	49	73	182	1	0	1	2
insK	4	8	15	13	13	15	23	65	1	0	1	0
insL1	172	261	545	504	121	214	437	819	5	8	1	2
insL2	197	260	556	437	71	193	365	720	4	7	1	1
insL3	151	237	500	463	101	131	349	731	6	3	0	0
insM	7	7	6	8	2	5	7	9	0	0	0	0
insN1	136	127	195	191	115	148	150	171	0	0	1	0
insN2	22	22	27	25	21	29	16	41	0	0	0	0
insO1	143	250	182	134	126	223	103	266	1	3	1	0
insO2	5	6	4	10	8	4	2	10	0	0	0	0
insQ	471	375	352	303	342	414	439	378	1	1	2	3
insX	399	398	486	482	332	419	392	524	2	0	0	0
insZ	19	39	25	25	10	30	20	58	0	0	0	0
int	48	4	2	5	1850	3269	7154	17868	40	5	21	3
intA	106	180	132	145	86	148	108	289	3	7	3	0
intB	484	456	343	359	386	612	276	455	0	3	0	0
intD	126	178	181	182	80	169	115	328	3	1	0	0
intE	18	36	65	53	26	45	33	76	0	0	0	0
intF	131	159	345	261	101	157	317	575	1	1	0	0
intG	1	4	5	2	0	6	8	11	0	0	0	0
intQ	11	21	9	7	4	15	8	13	0	0	0	0
intR	39	62	99	52	37	66	83	122	0	0	0	0
intS	25	27	66	35	31	30	54	89	1	0	0	0
intZ	1720	1341	1959	1468	1679	1347	1123	1975	7	4	2	1
ipeX	3877	3403	7562	4221	3320	3254	6878	4742	6	7	0	0
iprA	0	3	0	0	0	2	3	1	0	0	0	0
iraD	5	4	6	5	2	7	7	11	0	1	0	0
iraM	0	0	2	0	1	0	3	6	0	0	0	0
iraP	565	495	512	435	406	584	414	569	3	3	0	0
iroK	39	27	63	34	23	22	52	53	0	0	0	0
iscA	168	243	431	385	137	210	337	933	5	0	2	0
iscR	647	864	1548	1186	629	876	955	2318	13	13	5	4
iscS	517	739	1871	1523	410	722	1486	4010	23	18	2	9
iscU	119	178	406	295	99	185	409	1074	1	6	1	1
iscX	95	106	199	185	54	96	140	443	1	6	0	0
ispA	1269	1638	1837	1584	1075	1469	1038	2471	24	37	5	9
ispB	517	635	654	668	304	506	531	1125	23	15	3	5
ispD	180	215	412	280	126	194	291	672	8	4	1	3
ispE	228	238	373	378	129	239	264	638	9	8	9	2
ispF	78	132	191	167	51	113	161	424	4	2	0	1
ispG	1359	2022	2181	2109	1055	1780	1224	3707	55	52	19	13
ispH	570	795	1442	1404	329	623	848	2205	25	16	6	6
ispU	411	551	531	452	337	502	373	899	11	15	9	3
ispZ	3677	3612	3196	2060	3736	4409	1764	3401	5	5	3	0
isrC	17	22	37	29	18	30	39	61	1	0	0	0
istR-1	2	1	8	1	2	6	4	11	1	0	0	0
istR-2	4	1	13	5	2	7	5	18	1	0	0	0
ivbL	5623	5640	26809	18406	6166	6183	13190	19224	27	4	8	5
ivy	469	564	391	336	411	635	379	524	5	1	1	1
jayE	4	6	5	9	2	5	3	7	0	0	0	0
katE	300	563	110	103	211	414	92	238	7	11	4	3
katG	7860	9682	2405	2895	4586	7586	1452	4346	219	235	66	83
kbaY	9	7	2	5	1	5	4	9	0	0	0	0
kbaZ	60	88	48	55	47	52	22	92	0	3	1	0
kbl	16818	17601	8713	10476	11549	14497	4767	10858	83	91	26	31
kbp	263	428	55	62	184	383	56	126	5	4	1	3
kch	308	338	345	251	284	343	277	403	1	0	0	0
kdgK	1425	1155	836	890	877	1130	561	1116	15	15	6	4
kdgR	483	592	474	502	341	528	343	679	8	11	1	4
kdgT	77	69	120	111	49	58	117	90	1	0	0	1
kdpA	11	11	41	37	6	7	18	38	0	0	0	0
kdpB	36	44	56	55	19	25	46	80	0	1	0	0
kdpC	11	23	30	19	13	16	23	44	1	0	0	0
kdpD	459	543	584	526	292	449	370	639	4	3	0	0
kdpE	683	664	1008	878	481	615	588	732	1	4	1	3
kdpF	1	1	3	5	2	1	0	2	0	0	0	0
kdsA	421	572	639	567	306	529	449	1115	7	9	0	4
kdsB	966	1184	1088	1209	675	1065	712	1968	15	19	5	5
kdsC	383	581	531	439	288	556	302	999	9	18	5	0
kdsD	534	685	536	516	392	703	385	924	8	15	11	5
kduD	172	200	186	157	130	189	127	178	2	1	2	0
kduI	58	87	65	55	45	87	38	100	5	1	0	0
kefB	757	659	831	987	511	616	587	800	7	0	1	1
kefC	160	217	108	96	110	163	88	126	2	1	1	0
kefF	52	50	36	24	34	49	43	41	0	0	0	0
kefG	252	232	336	327	202	245	262	383	3	0	0	1
kgtP	10051	9891	18880	13776	9140	10009	12700	20121	61	42	13	6
kil	28	1	1	0	883	1311	3143	8225	17	2	3	2
kilR	0	0	1	2	3	1	2	3	0	0	0	0
kilS	32	37	47	23	28	32	30	38	0	0	0	0
kptA	365	411	577	602	340	463	422	586	2	2	1	0
kup	336	375	776	600	328	405	504	827	4	2	1	1
lacA	508	408	132	126	316	368	85	141	0	1	0	0
lacI	75	92	98	94	41	75	85	168	3	1	2	2
lacY	670	528	181	144	427	410	144	167	0	1	0	0
